Date,Values
01-Mar-17,621.3
01-Mar-17,634.74
01-Mar-17,632.28
01-Mar-17,642.3
01-Mar-17,585.84
01-Mar-17,593.52
01-Mar-17,605.76
01-Mar-17,636.18
01-Mar-17,628.32
01-Mar-17,645.6
01-Mar-17,627.66
01-Mar-17,638.04
01-Mar-17,642.66
01-Mar-17,627.72
01-Mar-17,661.14
01-Mar-17,695.04
01-Mar-17,687.54
01-Mar-17,701.76
01-Mar-17,724.38
01-Mar-17,676.26
01-Mar-17,693.9
01-Mar-17,711.84
01-Mar-17,711
01-Mar-17,704.7
01-Mar-17,695.46
01-Mar-17,746.76
01-Mar-17,760.98
01-Mar-17,742.98
01-Mar-17,720.48
01-Mar-17,705.42
01-Mar-17,738.12
01-Mar-17,734.82
01-Mar-17,712.74
01-Mar-17,726.96
01-Mar-17,721.14
01-Mar-17,695.94
01-Mar-17,676.5
01-Mar-17,672.78
01-Mar-17,698.22
01-Mar-17,658.92
01-Mar-17,651.24
01-Mar-17,634.2
01-Mar-17,640.44
01-Mar-17,622.2
01-Mar-17,618.48
01-Mar-17,617.1
01-Mar-17,624.06
01-Mar-17,587.88
02-Mar-17,630.48
02-Mar-17,612.3
02-Mar-17,619.68
02-Mar-17,594.06
02-Mar-17,598.62
02-Mar-17,550.08
02-Mar-17,569.76
02-Mar-17,654.18
02-Mar-17,669.6
02-Mar-17,637.68
02-Mar-17,642.78
02-Mar-17,624.36
02-Mar-17,616.44
02-Mar-17,632.04
02-Mar-17,676.38
02-Mar-17,664.92
02-Mar-17,694.26
02-Mar-17,681.12
02-Mar-17,656.76
02-Mar-17,716.82
02-Mar-17,726.84
02-Mar-17,722.22
02-Mar-17,692.46
02-Mar-17,705.78
02-Mar-17,715.74
02-Mar-17,689.46
02-Mar-17,704.82
02-Mar-17,720.54
02-Mar-17,751.14
02-Mar-17,714.84
02-Mar-17,711.78
02-Mar-17,732.6
02-Mar-17,735.12
02-Mar-17,744
02-Mar-17,728.1
02-Mar-17,682.08
02-Mar-17,655.14
02-Mar-17,675.48
02-Mar-17,651.96
02-Mar-17,653.88
02-Mar-17,658.86
02-Mar-17,640.14
02-Mar-17,616.86
02-Mar-17,620.28
02-Mar-17,615.36
02-Mar-17,595.92
02-Mar-17,581.28
02-Mar-17,567.9
03-Mar-17,547.62
03-Mar-17,568.2
03-Mar-17,598.92
03-Mar-17,600.78
03-Mar-17,604.08
03-Mar-17,595.5
03-Mar-17,613.02
03-Mar-17,622.98
03-Mar-17,634.56
03-Mar-17,622.08
03-Mar-17,629.76
03-Mar-17,661.38
03-Mar-17,657.9
03-Mar-17,650.76
03-Mar-17,606.96
03-Mar-17,639.66
03-Mar-17,639.96
03-Mar-17,661.44
03-Mar-17,640.8
03-Mar-17,668.52
03-Mar-17,678.78
03-Mar-17,667.68
03-Mar-17,670.74
03-Mar-17,674.88
03-Mar-17,701.94
03-Mar-17,695.04
03-Mar-17,647.76
03-Mar-17,691.02
03-Mar-17,710.82
03-Mar-17,723.48
03-Mar-17,691.14
03-Mar-17,710.58
03-Mar-17,744.66
03-Mar-17,733.74
03-Mar-17,718.38
03-Mar-17,727.74
03-Mar-17,711.12
03-Mar-17,679.8
03-Mar-17,631.32
03-Mar-17,667.44
03-Mar-17,641.58
03-Mar-17,662.46
03-Mar-17,623.16
03-Mar-17,615.3
03-Mar-17,638.04
03-Mar-17,624.18
03-Mar-17,604.8
03-Mar-17,589.56
04-Mar-17,586.44
04-Mar-17,590.4
04-Mar-17,583.74
04-Mar-17,589.2
04-Mar-17,563.82
04-Mar-17,576.96
04-Mar-17,538.5
04-Mar-17,525.84
04-Mar-17,514.02
04-Mar-17,429.24
04-Mar-17,373.02
04-Mar-17,379.02
04-Mar-17,379.32
04-Mar-17,354.18
04-Mar-17,376.5
04-Mar-17,366.06
04-Mar-17,394.32
04-Mar-17,412.92
04-Mar-17,385.98
04-Mar-17,383.7
04-Mar-17,394.08
04-Mar-17,400.74
04-Mar-17,382.5
04-Mar-17,391.38
04-Mar-17,380.7
04-Mar-17,366.12
04-Mar-17,391.86
04-Mar-17,392.58
04-Mar-17,389.88
04-Mar-17,394.98
04-Mar-17,371.28
04-Mar-17,367.2
04-Mar-17,387.96
04-Mar-17,375.96
04-Mar-17,359.1
04-Mar-17,339.48
04-Mar-17,326.1
04-Mar-17,322.02
04-Mar-17,343.98
04-Mar-17,343.38
04-Mar-17,356.34
04-Mar-17,343.14
04-Mar-17,322.74
04-Mar-17,302.76
04-Mar-17,330.12
04-Mar-17,314.88
04-Mar-17,304.68
04-Mar-17,310.02
05-Mar-17,300.06
05-Mar-17,305.46
05-Mar-17,307.5
05-Mar-17,334.44
05-Mar-17,328.08
05-Mar-17,317.82
05-Mar-17,304.08
05-Mar-17,305.82
05-Mar-17,314.04
05-Mar-17,318.24
05-Mar-17,294.78
05-Mar-17,291.24
05-Mar-17,298.2
